265 needs-browser/gated rows in menus/wip/router-20260904-164757.notes.json; opening 265, chains first

[  1/265] needs-browser  order.online               curl=unknown Deli Belly
[  2/265] needs-browser  Square Online storefront   curl=unknown Copa Vida
[  3/265] needs-browser  Square Online storefront   curl=unknown Copa Vida
[  4/265] fetch-failed   order.online               curl=unknown Deli Belly
[  5/265] fetch-failed   Square Online storefront   curl=unknown Copa Vida
[  6/265] fetch-failed   slice                      curl=unknown Pastalini
[  7/265] fetch-failed   Square Online storefront   curl=unknown Prager Brothers Artisan Breads
[  8/265] fetch-failed   MealKeyWay                 curl=unknown Dumplings N More
[  9/265] fetch-failed   Square Online (own domain) curl=unknown Serrano's Mexican Food
[ 10/265] fetch-failed   chownow                    curl=unknown Pho Hiep & Grill
[ 11/265] fetch-failed   plain-html                 curl=unknown Donut Stop
[ 12/265] fetch-failed   order.online               curl=unknown DaYung's Tea
[ 13/265] fetch-failed   order.online               curl=unknown Taste of Thai
[ 14/265] fetch-failed   order.online               curl=unknown Donut Bros
[ 15/265] fetch-failed   chownow                    curl=unknown Juice Caboose
[ 16/265] fetch-failed   order.online               curl=unknown Mochinut
[ 17/265] fetch-failed   -                          curl=unknown Cluck N Sip
[ 18/265] fetch-failed   MealKeyWay                 curl=unknown Suki Hana
[ 19/265] fetch-failed   toast                      curl=unknown Coco Bomb
[ 20/265] fetch-failed   chownow                    curl=unknown Juice Caboose
[ 21/265] fetch-failed   SpotOn                     curl=unknown CITRINA BERRY FRESH
[ 22/265] fetch-failed   SpotOn                     curl=unknown Souplantation
[ 23/265] fetch-failed   slice                      curl=unknown Allen's New York Pizza
[ 24/265] fetch-failed   spothopper                 curl=unknown Agave Birrieria
[ 25/265] fetch-failed   MealKeyWay                 curl=unknown Dumplings N More
[ 26/265] fetch-failed   slice                      curl=unknown Pastalini
[ 27/265] fetch-failed   Square Online storefront   curl=unknown Empanada Kitchen
[ 28/265] fetch-failed   Square Online storefront   curl=unknown Empanada Kitchen
[ 29/265] fetch-failed   Square Online storefront   curl=unknown Prager Brothers Artisan Breads
[ 30/265] fetch-failed   Square Online storefront   curl=unknown Lucha Libre Taco Shop
[ 31/265] filed          Square Online (own domain) curl=false   BCB Coffee
[ 32/265] needs-browser  chownow                    curl=unknown Burger Bench Escondido
[ 33/265] needs-browser  chownow                    curl=unknown Brigantine Seafood
[ 34/265] needs-browser  order.online               curl=unknown Tom's Famous Family Restaurant 24
[ 35/265] needs-browser  Square Online storefront   curl=unknown Wayfarer Bread & Pastry
[ 36/265] needs-browser  toast                      curl=unknown MooTime Creamery
[ 37/265] needs-browser  order.online               curl=unknown TOM's Famous Family Restaurant 22
[ 38/265] needs-browser  plain-html                 curl=unknown Por Favor El Cajon
[ 39/265] needs-browser  chownow                    curl=unknown Parakeet Cafe - Little Italy
[ 40/265] needs-browser  plain-html                 curl=unknown Papas & Tacos Mexican Food
[ 41/265] needs-browser  -                          curl=unknown Coya Peruvian Secret
[ 42/265] needs-browser  GloriaFood widget          curl=unknown That Mexican Place
[ 43/265] needs-browser  toast                      curl=unknown Lanna Thai Cuisine
[ 44/265] needs-browser  olo                        curl=unknown Panini Kabob Grill - Mission Valley
[ 45/265] gated          Square Online storefront   curl=unknown skybound coffee + dessert lounge
[ 46/265] needs-browser  order.online               curl=unknown Sancho's Tacos
[ 47/265] filed          Square Online (own domain) curl=false   Up2You Cafe
[ 48/265] needs-browser  plain-html                 curl=unknown Nick's Del Mar
[ 49/265] needs-browser  plain-html                 curl=unknown Pancho's Mexican Restaurant
[ 50/265] gated          olo                        curl=unknown Better Buzz Coffee Pacific Beach Grand
[ 51/265] needs-browser  order.online               curl=unknown Robertito's Mexican Food
[ 52/265] needs-browser  toast                      curl=unknown Nado Republic
[ 53/265] filed          Square Online (own domain) curl=false   Camp Coffee Company
[ 54/265] needs-browser  -                          curl=unknown Beyer Deli
[ 55/265] needs-browser  toast                      curl=unknown Shaks Mediterranean Bistro
[ 56/265] needs-browser  Square Online (own domain) curl=unknown Portal Coffee
[ 57/265] needs-browser  spothopper                 curl=unknown Los Panchos Mexican Grill & Seafood
[ 58/265] needs-browser  spothopper                 curl=unknown Penelopes Mexican Food
[ 59/265] needs-browser  Square Online storefront   curl=unknown Maan's Mediterranean Grill
[ 60/265] needs-browser  Square Online (own domain) curl=unknown Barrio Donas
[ 61/265] needs-browser  spothopper                 curl=unknown Curry & More - Indian Bistro
[ 62/265] needs-browser  spothopper                 curl=unknown 3N1 Sports Bar & Grill
[ 63/265] gated          order.online               curl=unknown Scoops La Jolla
[ 64/265] needs-browser  -                          curl=unknown Tabu Sushi Bar & Grill Santee
[ 65/265] needs-browser  Square Online storefront   curl=unknown Portinos Restaurant
[ 66/265] fetch-failed   Square Online storefront   curl=unknown Bay Park Coffee
[ 67/265] filed          Square Online storefront   curl=true    Sandwich Emporium
[ 68/265] needs-browser  spothopper                 curl=unknown il Sogno Italiano
[ 69/265] needs-browser  order.online               curl=unknown Gelato Paradiso
[ 70/265] needs-browser  Square Online storefront   curl=unknown Pink Rose Cafe
[ 71/265] screened-out   -                          curl=unknown Yogurt Heaven
[ 72/265] needs-browser  toast                      curl=unknown Valentina
[ 73/265] gated          slice                      curl=unknown Italia Pizza
[ 74/265] needs-browser  olo                        curl=unknown Randy's Donuts
[ 75/265] needs-browser  olo                        curl=unknown Luna Grill Millenia
[ 76/265] needs-browser  Square Online (own domain) curl=unknown Solana Sumptuous Cookies
[ 77/265] needs-browser  MealKeyWay                 curl=unknown Surfing Crab Escondido
[ 78/265] needs-browser  spothopper                 curl=unknown Santos Coffee
[ 79/265] needs-browser  order.online               curl=unknown San Diego Sandwich Co
[ 80/265] needs-browser  Square Online (own domain) curl=unknown Matcha Cafe Maiko - Escondido
[ 81/265] needs-browser  -                          curl=unknown Marieta's Mexican Food
[ 82/265] needs-browser  HungerRush                 curl=unknown Flippin' Pizza La Costa
[ 83/265] needs-browser  SpotOn                     curl=unknown Porky's Lechon Barbecue
[ 84/265] needs-browser  Square Online storefront   curl=unknown Crossroads Deli
[ 85/265] gated          Square Online (own domain) curl=unknown Elixir Espresso & Wine Bar
[ 86/265] wrong-branch   -                          curl=unknown The Naked Cafe
[ 87/265] needs-browser  olo                        curl=unknown Luna Grill Encinitas
[ 88/265] needs-browser  Square Online storefront   curl=unknown Thyme for Lunch Cafe & Grill
[ 89/265] gated          Square Online (own domain) curl=unknown Industrial Grind Coffee
[ 90/265] needs-browser  toast                      curl=unknown Fat Joe’s O’side
[ 91/265] needs-browser  Square Online storefront   curl=unknown Mesa Agricola
[ 92/265] needs-browser  -                          curl=unknown Banh Mi Blvd
[ 93/265] needs-browser  Square Online (own domain) curl=unknown Dot Cafe
[ 94/265] needs-browser  order.online               curl=unknown Le Macaron French Pastries
[ 95/265] needs-browser  -                          curl=unknown Seaview Restaurant
[ 96/265] screened-out   SpotOn                     curl=unknown Kalei's Kitchenette
[ 97/265] needs-browser  order.online               curl=unknown BB's Deli
[ 98/265] needs-browser  MealKeyWay                 curl=unknown Iron Wok
[ 99/265] screened-out   slice                      curl=unknown Rock On Pizza
[100/265] filed          Square Online storefront   curl=false   Sue's Korean Kitchen
[101/265] needs-browser  Square Online storefront   curl=unknown Tacoman
[102/265] needs-browser  Square Online storefront   curl=unknown Fan-Fan
[103/265] fetch-failed   order.online               curl=unknown Mr. Charlie's
[104/265] fetch-failed   SpotOn                     curl=unknown D Wings & Ribs
[105/265] fetch-failed   -                          curl=unknown Panorama Bar & Grill
[106/265] fetch-failed   Square Online storefront   curl=unknown Cargo Cafe
[107/265] fetch-failed   toast                      curl=unknown Matoi
[108/265] fetch-failed   order.online               curl=unknown Poki Poki - Encinitas
[109/265] fetch-failed   MealKeyWay                 curl=unknown Zhengxin Chicken Steak
[110/265] gated          Square Online (own domain) curl=unknown Elixir Espresso Bar
[111/265] fetch-failed   chownow                    curl=unknown Gor Gai Thai Eatery
[112/265] fetch-failed   Square Online storefront   curl=unknown Sul & Beans
[113/265] fetch-failed   Square Online storefront   curl=unknown ZzanG Hotdog & Chicken
[114/265] fetch-failed   olo                        curl=unknown Sweetfin
[115/265] fetch-failed   order.online               curl=unknown Daniel's Taco Shop
[116/265] fetch-failed   SpotOn                     curl=unknown Hot or Not Thai
[117/265] fetch-failed   MealKeyWay                 curl=unknown Szechuan Chef Chinese Cuisine
[118/265] fetch-failed   HungerRush                 curl=unknown Flippin Pizza Encinitas
[119/265] fetch-failed   toast                      curl=unknown Upper East
[120/265] fetch-failed   order.online               curl=unknown Elsa's Kitchen
[121/265] fetch-failed   Square Online storefront   curl=unknown Mad Munch Grilled Cheezer Co.
[122/265] fetch-failed   plain-html                 curl=unknown JNC Pinoy Foodmart
[123/265] fetch-failed   chownow                    curl=unknown Juice Kaboose
[124/265] fetch-failed   toast                      curl=unknown Junction Bar & Grill
[125/265] fetch-failed   toast                      curl=unknown Thai Ladle
[126/265] fetch-failed   chownow                    curl=unknown Leos Kitchen
[127/265] fetch-failed   MealKeyWay                 curl=unknown Ma's House
[128/265] fetch-failed   Square Online storefront   curl=unknown Tasty Pizza Escondido LLC
[129/265] fetch-failed   SpotOn                     curl=unknown La Banana Fruits - Fruteria
[130/265] fetch-failed   toast                      curl=unknown Angry Petes Pizza Point Loma
[131/265] fetch-failed   toast                      curl=unknown Understory Bar
[132/265] fetch-failed   Square Online (own domain) curl=unknown Rad Habits Juice
[133/265] fetch-failed   MealKeyWay                 curl=unknown Spicy Noodle
[134/265] fetch-failed   SpotOn                     curl=unknown Mariscos y Miches El Patron
[135/265] fetch-failed   Square Online storefront   curl=unknown Dog Leg Brewing
[136/265] fetch-failed   toast                      curl=unknown Burekas Box
[137/265] fetch-failed   Square Online storefront   curl=unknown Goli
[138/265] fetch-failed   -                          curl=unknown Tutti Frutti Frozen Yogurt
[139/265] fetch-failed   MealKeyWay                 curl=unknown Ten Seconds Yunnan Rice Noodle
[140/265] fetch-failed   Square Online (own domain) curl=unknown The Craft Taco at The Nat
[141/265] fetch-failed   Square Online (own domain) curl=unknown Castelli & Pizarro Family Vineyards & Winery
[142/265] fetch-failed   slice                      curl=unknown Papa's Pizza
[143/265] fetch-failed   -                          curl=unknown Rambler Coffee
[144/265] fetch-failed   -                          curl=unknown Modern Times Coffee
[145/265] fetch-failed   slice                      curl=unknown Del Cerro Pizza
[146/265] fetch-failed   order.online               curl=unknown Tous les Jours
[147/265] fetch-failed   Square Online storefront   curl=unknown Flour Atelier
[148/265] fetch-failed   plain-html                 curl=unknown Roppongi
[149/265] needs-browser  order.online               curl=unknown Qin West
[150/265] needs-browser  -                          curl=unknown Lambers Chinese Bakery
[151/265] needs-browser  order.online               curl=unknown Poke One N Half
[152/265] fetch-failed   Square Online (own domain) curl=unknown Cafe Pascale Grill & Deli
[153/265] fetch-failed   chownow                    curl=unknown Off the Vine Gardens Deli And Catering
[154/265] fetch-failed   toast                      curl=unknown Nomada
[155/265] fetch-failed   Square Online storefront   curl=unknown Bean Box
[156/265] fetch-failed   -                          curl=unknown Divina Matcha
[157/265] fetch-failed   -                          curl=unknown Pure Squeeze
[158/265] fetch-failed   toast                      curl=unknown 56 Thai Cafe
[159/265] fetch-failed   Square Online storefront   curl=unknown Montebello
[160/265] fetch-failed   Square Online storefront   curl=unknown Cargo Cafe - Paseo Del Mar
[161/265] needs-browser  toast                      curl=unknown Pita Pit
[162/265] needs-browser  Paytronix                  curl=unknown Ziggi's Coffee
[163/265] gated          order.online               curl=unknown La Pizzeria Arrivederci
[164/265] needs-browser  MealKeyWay                 curl=unknown Yuki Yuki
[165/265] needs-browser  -                          curl=unknown Market One
[166/265] filed          -                          curl=true    Chapters Cafe
[167/265] needs-browser  -                          curl=unknown Fresca Deli .
[168/265] needs-browser  order.online               curl=unknown WUHU TEA & DELI
[169/265] needs-browser  Square Online storefront   curl=unknown The Bean Box 701
[170/265] needs-browser  Square Online storefront   curl=unknown Ramen Station
[171/265] needs-browser  SpotOn                     curl=unknown Oriste Fairway Cafe
[172/265] needs-browser  Square Online storefront   curl=unknown Cargo Cafe - Wateridge
[173/265] needs-browser  Square Online storefront   curl=unknown Cargo Cafe - Gateway
[174/265] needs-browser  -                          curl=unknown Swami's
[175/265] needs-browser  order.online               curl=unknown Poki Poki
[176/265] needs-browser  Square Online storefront   curl=unknown Sushi Freak
[177/265] needs-browser  Square Online (own domain) curl=unknown Crepes
[178/265] needs-browser  order.online               curl=unknown Hummus Mediterranean Kitchen
[179/265] needs-browser  -                          curl=unknown Stella Jean's Ice Cream Kensington
[180/265] needs-browser  -                          curl=unknown Golden Spoon Carlsbad Plaza
[181/265] needs-browser  Square Online storefront   curl=unknown Purl Tea San Marcos
[182/265] needs-browser  plain-html                 curl=unknown Nick's on State
[183/265] needs-browser  -                          curl=unknown Board & Brew - Escondido
[184/265] screened-out   slice                      curl=unknown Fiori’s Pizza
[185/265] needs-browser  toast                      curl=unknown Taco Lounge Escaya
[186/265] needs-browser  order.online               curl=unknown Sabor a Vida Cafe & Deli
[187/265] needs-browser  chownow                    curl=unknown Donburi Rice Bowls
[188/265] needs-browser  order.online               curl=unknown Chin's Szechwan - Del Mar
[189/265] needs-browser  SpotOn                     curl=unknown Tasty Pho
