(node:22288) [MODULE_TYPELESS_PACKAGE_JSON] Warning: Module type of file:///C:/Users/Calvin%20%20Lensink/Documents/platemaps/src/data/regions.ts is not specified and it doesn't parse as CommonJS.
Reparsing as ES module because module syntax was detected. This incurs a performance overhead.
To eliminate this warning, add "type": "module" to \\?\C:\Users\Calvin  Lensink\Documents\platemaps\package.json.
(Use `node --trace-warnings ...` to show where the warning was created)
908 cells, 2 done, fetching 906
  25 cells, 248 places, 24 credits
  50 cells, 411 places, 49 credits
  75 cells, 583 places, 76 credits
  100 cells, 729 places, 102 credits
  125 cells, 963 places, 131 credits
  150 cells, 1087 places, 156 credits
  175 cells, 1276 places, 182 credits
  200 cells, 1437 places, 207 credits
  225 cells, 1602 places, 232 credits
  250 cells, 1775 places, 257 credits
  275 cells, 1918 places, 283 credits
  300 cells, 2046 places, 308 credits
  325 cells, 2185 places, 333 credits
  350 cells, 2337 places, 358 credits
  375 cells, 2483 places, 383 credits
  400 cells, 2642 places, 408 credits
  425 cells, 2762 places, 433 credits
  450 cells, 2923 places, 460 credits
  475 cells, 3072 places, 485 credits
  500 cells, 3180 places, 511 credits
  525 cells, 3369 places, 537 credits
  550 cells, 3505 places, 562 credits
  575 cells, 3652 places, 587 credits
  600 cells, 3826 places, 615 credits
  625 cells, 3964 places, 640 credits
  650 cells, 4116 places, 665 credits
  675 cells, 4297 places, 691 credits
  700 cells, 4506 places, 719 credits
  725 cells, 4674 places, 746 credits
  750 cells, 4830 places, 771 credits
  775 cells, 4986 places, 796 credits
  800 cells, 5164 places, 822 credits
  825 cells, 5327 places, 848 credits
  850 cells, 5461 places, 873 credits
  875 cells, 5573 places, 898 credits
  900 cells, 5652 places, 923 credits
done: 908 cells, 5699 distinct places (+5677 new), 932 credits this run
