
## Las Cuatro Milpas  (2 matches)
  [205] Las Cuatro Milpas | 1985 National Ave Ste 1131, San Diego, CA 92113, San Diego | listed=true hold=- | dishes=12 (no_price 0) | ml=found/chain-shared | hours=true photo=true | src=yelp:las-cuatro-milpas-san-diego-2 | web=- | menu=chain-shared:restaurant/4544
  [4544] Las Cuatro Milpas | 1985 National Ave, Unit 1131, San Diego, CA 92113, San Diego | listed=false hold=duplicate of 205 | dishes=12 (no_price 0) | ml=found/chain-shared | hours=false photo=true | src=osm:node/13826139998 | web=- | menu=chain-shared:restaurant/205

## Hodad's  (2 matches)
  [37] Hodad's | 945 Broadway, San Diego, CA 92101, San Diego | listed=true hold=- | dishes=30 (no_price 0) | ml=found/high | hours=true photo=true | src=yelp:hodads-san-diego-8 | web=http://hodadsdowntown.com/ | menu=https://hodadsdowntown.com/food-menu
  [2434] Hodad's Ocean Beach | 5010 Newport Avenue, San Diego | listed=true hold=- | dishes=30 (no_price 0) | ml=found/high | hours=true photo=false | src=osm:node/4358178994 | web=http://hodadsoceanbeach.com/ | menu=https://hodadsoceanbeach.com/san-diego-hodad-s-ocean-beach-food-menu

## Phil's BBQ  (5 matches)
  [164] Phil's BBQ | 3750 Sports Arena Blvd, San Diego, CA 92110, San Diego | listed=true hold=- | dishes=25 (no_price 0) | ml=found/high | hours=true photo=true | src=yelp:phils-bbq-san-diego-2 | web=https://philsbbq.com/ | menu=https://philsbbq.com/san-diego-point-loma-phil-s-bbq-food-menu
  [574] Phil's BBQ | 17051 W Bernardo Dr, San Diego, CA 92127, San Diego | listed=true hold=- | dishes=45 (no_price 0) | ml=found/high | hours=true photo=true | src=yelp:phils-bbq-san-diego-14 | web=http://philsbbq.com/ | menu=https://philsbbq.com/food-menu
  [362] Phil's BBQ | 9816 Mission Gorge Rd, Santee, CA 92071, Santee | listed=true hold=- | dishes=45 (no_price 0) | ml=found/high | hours=true photo=true | src=yelp:phils-bbq-santee | web=http://www.philsbbq.com/ | menu=https://philsbbq.com/san-diego-point-loma-phil-s-bbq-food-menu
  [69] Phil's BBQ | Terminal 2 West, 3225 North Scottsdale Road Gate 45, San Diego, CA 92101, San Diego | listed=true hold=- | dishes=36 (no_price 0) | ml=found/high | hours=true photo=true | src=yelp:phils-bbq-san-diego-10 | web=https://www.philsbbq.com/ | menu=https://philsbbq.com/san-diego-point-loma-phil-s-bbq-food-menu
  [8231] Phil's BBQ T2W | 3665 N Harbor Dr, San Diego, CA 92101, San Diego | listed=false hold=permit-only: no public listing found (DEH DEH2013-FFPP-001676) | dishes=0 (no_price 0) | ml=-/- | hours=false photo=false | src=deh:DEH2013-FFPP-001676 | web=- | menu=-

## Lucha Libre Taco Shop  (3 matches)
  [88] Lucha Libre | 1810 W Washington St, San Diego, CA 92103, San Diego | listed=true hold=- | dishes=29 (no_price 0) | ml=found/high | hours=true photo=true | src=yelp:lucha-libre-san-diego-5 | web=http://www.luchalibretacoshop.com/ | menu=https://www.luchalibretacoshop.com/menu/
  [2605] Lucha Libre Taco Shop | 3016 University Avenue, North Park | listed=true hold=- | dishes=0 (no_price 0) | ml=-/- | hours=false photo=false | src=osm:node/5430490221 | web=https://luchalibretacoshop.com/ | menu=-
  [3892] Lucha Libre Taco Shop | 1313 Garnet Ave, San Diego, CA 92109, San Diego | listed=true hold=- | dishes=0 (no_price 0) | ml=-/- | hours=false photo=true | src=osm:node/12080407273 | web=http://www.luchalibretacoshop.com | menu=-

## Oscar's Mexican Seafood  (6 matches)
  [5257] Oscar's Mexican Food | 12711 Poway Road, Poway | listed=true hold=- | dishes=164 (no_price 0) | ml=found/medium | hours=true photo=false | src=osm:way/546280450 | web=https://www.rigobertostacoshop.com/ | menu=https://fromtherestaurant.com/oscars-mexican-food/menu/12711-Poway-Rd/
  [3681] Oscar's Mexican Food | 225 S Rancho Santa Fe Rd, San Marcos, CA 92078, San Marcos | listed=true hold=- | dishes=164 (no_price 0) | ml=found/chain-shared | hours=true photo=false | src=osm:node/11034533206 | web=https://oscarsmexicanfood.shop/ | menu=chain-shared:restaurant/5257
  [5963] Oscar's Mexican Food | 822 E Vista Way, Vista, CA 92084, Vista | listed=true hold=- | dishes=164 (no_price 0) | ml=found/chain-shared | hours=true photo=false | src=deh:DEH2006-FFPP-422294 | web=- | menu=chain-shared:restaurant/3681
  [147] Oscars Mexican Seafood | 746 Emerald St, San Diego, CA 92109, San Diego | listed=true hold=- | dishes=45 (no_price 1) | ml=found/high | hours=true photo=true | src=yelp:oscars-mexican-seafood-san-diego-5 | web=http://oscarsmexicanseafood.com/ | menu=https://oscarsmexicanseafood.com/menu/
  [2427] Oscar's Mexican Seafood | 703 Turquoise Street, San Diego | listed=false hold=Google reports this business as permanently closed | dishes=45 (no_price 1) | ml=found/chain-shared | hours=true photo=true | src=osm:node/4254727468 | web=https://www.oscarsmexicanseafood.com/turqouise/ | menu=chain-shared:restaurant/147
  [129] Oscars Mexican Seafood | 646 University Ave, San Diego, CA 92103, San Diego | listed=false hold=duplicate of 2813 | dishes=45 (no_price 0) | ml=found/high | hours=true photo=true | src=yelp:oscars-mexican-seafood-san-diego-6 | web=http://oscarsmexicanseafood.com/ | menu=https://www.toasttab.com/local/order/oscars-mexican-seafood-hillcrest/r-2b841fd3-71a9-4fb3-8681-f3f2e732136d

## Tacos El Gordo  (5 matches)
  [16] Tacos El Gordo | 556 Broadway, Chula Vista, CA 91910, Chula Vista | listed=true hold=- | dishes=38 (no_price 0) | ml=found/medium | hours=true photo=true | src=yelp:tacos-el-gordo-chula-vista-6 | web=https://www.tacoselgordobc.com | menu=https://www.allmenus.com/ca/chula-vista/723634-tacos-el-gordo/menu/
